survey	contact_type	part_age	cont_age	m_est
baseline	community	[30,40)	[10,20)	1.6128142555802258
baseline	community	[30,40)	[20,30)	2.465173826622544
baseline	community	[30,40)	[30,40)	3.3127795324014246
baseline	community	[30,40)	[40,50)	2.392518200560706
baseline	community	[30,40)	[50,60)	1.5915444507213923
baseline	community	[30,40)	[60,70)	0.8582516833349187
baseline	community	[30,40)	[70,80)	0.4039687449612349
baseline	community	[30,40)	[80,Inf]	0.22686394148314598
baseline	community	[40,50)	[0,5)	0.408726297375404
baseline	community	[40,50)	[5,10)	0.5236920332161588
baseline	community	[40,50)	[10,20)	1.327414962508566
baseline	community	[40,50)	[20,30)	1.717338804497446
baseline	community	[40,50)	[30,40)	2.0816993655572094
baseline	community	[40,50)	[40,50)	3.0536894257614486
baseline	community	[40,50)	[50,60)	1.7913855788149753
baseline	community	[40,50)	[60,70)	0.9343442636681989
baseline	community	[40,50)	[70,80)	0.46450110703912023
baseline	community	[40,50)	[80,Inf]	0.23262179333846839
baseline	community	[50,60)	[0,5)	0.3178485790048195
baseline	community	[50,60)	[5,10)	0.35038117285007364
baseline	community	[50,60)	[10,20)	0.8917333916071326
baseline	community	[50,60)	[20,30)	1.2065552608875036
baseline	community	[50,60)	[30,40)	1.3194202812124007
baseline	community	[50,60)	[40,50)	1.7068374768685808
baseline	community	[50,60)	[50,60)	1.9162561860676106
baseline	community	[50,60)	[60,70)	1.0905026031681981
baseline	community	[50,60)	[70,80)	0.5441526576582598
baseline	community	[50,60)	[80,Inf]	0.2933250005596381
baseline	community	[60,70)	[0,5)	0.23173950264408624
baseline	community	[60,70)	[5,10)	0.2420003544572118
baseline	community	[60,70)	[10,20)	0.5468018630487002
baseline	community	[60,70)	[20,30)	0.7319128663375176
baseline	community	[60,70)	[30,40)	0.844398614798674
baseline	community	[60,70)	[40,50)	1.0565274813189458
baseline	community	[60,70)	[50,60)	1.2941975985063214
baseline	community	[60,70)	[60,70)	1.4435636799892384
baseline	community	[60,70)	[70,80)	0.8219947581690736
baseline	community	[60,70)	[80,Inf]	0.3909680278756777
baseline	community	[70,80)	[0,5)	0.12646553693016818
baseline	community	[70,80)	[5,10)	0.15559917449207067
baseline	community	[70,80)	[10,20)	0.3716252903538861
baseline	community	[70,80)	[20,30)	0.5206939273615714
baseline	community	[70,80)	[30,40)	0.6003008439415646
baseline	community	[70,80)	[40,50)	0.79332639220437
baseline	community	[70,80)	[50,60)	0.9754026804497443
baseline	community	[70,80)	[60,70)	1.2415689079540528
baseline	community	[70,80)	[70,80)	1.511829252278397
baseline	community	[70,80)	[80,Inf]	0.6925382582849546
baseline	community	[80,Inf]	[0,5)	0.06893443140652178
baseline	community	[80,Inf]	[5,10)	0.08494416367967511
baseline	community	[80,Inf]	[10,20)	0.2644210496515762
baseline	community	[80,Inf]	[20,30)	0.5432662392621903
baseline	community	[80,Inf]	[30,40)	0.6086025438744415
baseline	community	[80,Inf]	[40,50)	0.7172250180932794
baseline	community	[80,Inf]	[50,60)	0.9491686828474499
baseline	community	[80,Inf]	[60,70)	1.066064656142335
baseline	community	[80,Inf]	[70,80)	1.2502739590029799
baseline	community	[80,Inf]	[80,Inf]	0.9223309329994757
baseline	household	[0,5)	[0,5)	0.4476279234151402
baseline	household	[0,5)	[5,10)	0.3359463864704091
baseline	household	[0,5)	[10,20)	0.1549284928641599
baseline	household	[0,5)	[20,30)	0.34287119373375446
baseline	household	[0,5)	[30,40)	1.062302174484475
baseline	household	[0,5)	[40,50)	0.2199205964234077
baseline	household	[0,5)	[50,60)	0.016451997768150307
baseline	household	[0,5)	[60,70)	0.0017966389932744407
baseline	household	[0,5)	[70,80)	6.447431448829412e-4
baseline	household	[0,5)	[80,Inf]	4.576276792038121e-4
baseline	household	[5,10)	[0,5)	0.3153813933686285
baseline	household	[5,10)	[5,10)	0.43722487602791815
baseline	household	[5,10)	[10,20)	0.47562895436303565
baseline	household	[5,10)	[20,30)	0.10538339346773773
baseline	household	[5,10)	[30,40)	0.7105778880741932
baseline	household	[5,10)	[40,50)	0.6814081922434965
baseline	household	[5,10)	[50,60)	0.06960629016164545
baseline	household	[5,10)	[60,70)	0.008745510249811508
baseline	household	[5,10)	[70,80)	0.0018302819439329255
baseline	household	[5,10)	[80,Inf]	0.0011088758458032875
baseline	household	[10,20)	[0,5)	0.06704397555968214
baseline	household	[10,20)	[5,10)	0.21925438237505035
baseline	household	[10,20)	[10,20)	0.8383637467056393
baseline	household	[10,20)	[20,30)	0.2234315209447799
