"epsilon","zeta","gamma","nu_short[1]","nu_short[2]","nu_short[3]","nu_short[4]","nu_short[5]","nu_short[6]","nu_short[7]","nu_short[8]","inoculum","p_short[1]","p_short[2]","p_short[3]","p_short[4]","p_short[5]","p_short[6]","p_short[7]","p_short[8]","x0","k","alpha","beta_short[1]","beta_short[2]","beta_short[3]","r"
0.120128,0.626317,0.389932,0.000237831,0.000311965,0.000740078,0.00173862,0.00422006,0.00508461,0.00993629,0.0142579,4.50675e-05,0.000609558,0.000799409,0.00189437,0.004439,0.0107067,0.0128719,0.0248489,0.0352752,28.5766,0.373529,0.304756,0.243737,0.620485,1,12.6718
0.0576966,0.535062,0.190661,0.000163245,0.000184938,0.000435179,0.0011107,0.00266491,0.00399496,0.00709718,0.0111321,4.81365e-05,0.000855474,0.000969044,0.00227728,0.00579178,0.0137846,0.0205232,0.0358883,0.0551659,28.3457,0.623009,0.469222,0.244071,0.743965,1,18.091
0.0841901,0.529353,0.212621,0.000104357,0.000223095,0.000443778,0.00104957,0.00257576,0.00229387,0.00407612,0.0058818,6.91977e-05,0.000490573,0.00104816,0.00208283,0.00491209,0.0119693,0.0106734,0.0188102,0.0269187,28.1827,0.446196,0.389701,0.24704,0.501894,1,13.7127
0.0804305,0.570864,0.216557,0.000163105,0.000195399,0.000494549,0.00127014,0.00322194,0.00299672,0.00539593,0.00722538,4.25379e-05,0.000752607,0.000901485,0.00227848,0.00583094,0.0146599,0.0136492,0.0243111,0.0322875,27.8239,0.361359,0.501864,0.231547,0.520198,1,14.4814
0.067692,0.727269,0.223761,0.000184509,0.000214784,0.000441479,0.00116658,0.00272152,0.0031226,0.00502287,0.00706028,6.28022e-05,0.000823903,0.000958961,0.00196911,0.00518646,0.0120165,0.013763,0.0219547,0.0305877,29.026,0.554813,0.625061,0.202355,0.574288,1,21.8103
0.0961588,0.467305,0.250212,0.000310833,0.000273496,0.000721251,0.00172921,0.00419837,0.00504248,0.00881015,0.0121763,3.73403e-05,0.00124074,0.00109186,0.00287428,0.00686355,0.0165024,0.0197548,0.0340132,0.0464058,27.3006,0.377697,0.304204,0.206162,0.611176,1,15.2907
0.0840762,0.786839,0.255675,0.000110302,0.000194456,0.000483492,0.00125468,0.00293703,0.00234696,0.00384224,0.00580841,5.28974e-05,0.000431228,0.00075998,0.00188747,0.00488337,0.0113569,0.00909594,0.0148053,0.0222133,29.1479,0.512767,0.694831,0.237461,0.453583,1,16.417
0.129385,0.540473,0.335403,0.000261104,0.000306731,0.000723263,0.00191359,0.00458229,0.00430671,0.00729394,0.0104675,3.45911e-05,0.000777872,0.000913679,0.00215176,0.00567298,0.0134779,0.0126776,0.0212839,0.0302642,27.9507,0.300191,0.320546,0.196169,0.51501,1,14.7178
0.10845,0.657045,0.333579,0.00030745,0.000346574,0.000805912,0.00198652,0.00437484,0.00497104,0.00802592,0.0116789,4.27881e-05,0.000920823,0.00103788,0.00241014,0.00591992,0.0129451,0.0146833,0.0234948,0.0338265,28.3228,0.417247,0.360156,0.203903,0.567197,1,12.8565
0.0757973,0.573022,0.222562,0.000139559,0.000232396,0.000542044,0.00130044,0.00290304,0.00327125,0.00559156,0.00885815,4.60758e-05,0.000626663,0.0010431,0.00242956,0.00580913,0.0128758,0.0144853,0.0245079,0.0382774,28.4506,0.478033,0.455902,0.250536,0.580698,1,16.3538
0.0857254,0.556511,0.230381,0.000152241,0.000245903,0.000493257,0.00123752,0.00340763,0.00319595,0.00558754,0.00887786,5.01042e-05,0.000660387,0.00106624,0.00213648,0.00534293,0.0145757,0.0136826,0.0236792,0.0371057,27.7664,0.343646,0.40993,0.261235,0.521377,1,9.96432
0.084043,0.495891,0.222387,0.000149539,0.000242808,0.000572496,0.00137073,0.00331034,0.0036748,0.00627074,0.00965521,3.49861e-05,0.000671972,0.00109064,0.00256771,0.00612595,0.0146671,0.0162557,0.0274241,0.0416096,27.4873,0.364002,0.397876,0.234295,0.589861,1,10.8176
0.0850049,0.629701,0.277609,0.000210059,0.000218119,0.00058656,0.00151137,0.00383514,0.00435606,0.00835834,0.0119643,3.99393e-05,0.0007561,0.000785089,0.00210844,0.00541475,0.0136266,0.0154489,0.0292283,0.041317,28.6408,0.472076,0.400362,0.267112,0.62815,1,12.6273
0.0865845,0.639608,0.287072,0.000208204,0.000217756,0.000593753,0.00150716,0.00382789,0.00438834,0.00842098,0.0120205,4.07555e-05,0.000724741,0.000757965,0.00206404,0.0052227,0.0131588,0.0150564,0.0284981,0.04019,28.5964,0.467559,0.400987,0.265658,0.625136,1,12.6996
0.0600352,0.442429,0.162527,0.000137609,0.000172028,0.000411566,0.000978253,0.00259206,0.00322148,0.00526571,0.00931811,6.69031e-05,0.000845971,0.00105734,0.0025259,0.00598301,0.0156981,0.019436,0.0313823,0.054224,28.0984,0.604478,0.404097,0.238933,0.651702,1,18.226
0.0623039,0.403444,0.16468,0.000144651,0.000131012,0.000368868,0.000918604,0.00217431,0.00286861,0.0048741,0.00824893,6.23462e-05,0.000877606,0.00079492,0.0022349,0.00554717,0.0130312,0.0171211,0.0287466,0.0477013,28.3786,0.50833,0.401116,0.242865,0.651148,1,20.3
0.0611519,0.420434,0.151583,0.000135764,0.000154735,0.000373303,0.000980711,0.00231905,0.00266105,0.00501437,0.00751274,4.87135e-05,0.000894843,0.00101975,0.00245665,0.00642821,0.0150684,0.0172522,0.0320208,0.0472215,27.6485,0.460262,0.522313,0.217969,0.600189,1,12.3623
0.0637878,0.474395,0.176905,0.000142402,0.000219055,0.000433092,0.00102299,0.00260169,0.00316434,0.00558919,0.00860924,4.85696e-05,0.000804317,0.00123673,0.00244218,0.00574945,0.0144935,0.0175729,0.0306266,0.0464074,27.8594,0.402356,0.464586,0.216175,0.64561,1,14.1601
0.0668454,0.505714,0.188389,0.000138039,0.000185111,0.00040854,0.00100325,0.0024811,0.00311442,0.00544984,0.00824509,5.05764e-05,0.000732198,0.000981639,0.00216391,0.00529722,0.0129989,0.016263,0.0281154,0.0419312,27.7143,0.405683,0.455149,0.207968,0.64164,1,13.7942
0.1049,0.637741,0.33962,0.000328009,0.000286537,0.000806974,0.00203792,0.0052362,0.00578355,0.0103817,0.0154592,3.72005e-05,0.000964881,0.000842989,0.00237048,0.00596479,0.0151837,0.0167443,0.0296619,0.0435374,28.3325,0.453826,0.343782,0.220455,0.621647,1,18.4298
0.110823,0.632556,0.350388,0.000341602,0.000283778,0.000825302,0.00212906,0.00510874,0.00589398,0.0105386,0.0158419,3.88855e-05,0.000973973,0.00080924,0.00234986,0.0060396,0.0143707,0.016543,0.0291988,0.0432567,28.6733,0.478318,0.327701,0.217437,0.600846,1,18.7633
0.0718965,0.478985,0.215765,0.000162605,0.000208334,0.000547417,0.00137589,0.00366183,0.00481422,0.00902651,0.0128437,3.90019e-05,0.000753055,0.000964629,0.00253068,0.00633638,0.0166882,0.0218253,0.040155,0.0561821,27.8756,0.431912,0.378103,0.263493,0.686342,1,15.6957
0.0854143,0.593349,0.298691,0.000142873,0.000212672,0.00047015,0.00126163,0.00322582,0.00446679,0.0083694,0.0122078,5.49637e-05,0.0004781,0.000711507,0.00157156,0.00420609,0.0106844,0.0147342,0.0272565,0.0392662,28.3308,0.372825,0.34907,0.289519,0.700745,1,13.8914
0.0851929,0.534142,0.261614,0.00023954,0.000247703,0.00064623,0.0014951,0.00367646,0.0045587,0.00921068,0.0134108,3.51974e-05,0.000914787,0.000945932,0.00246408,0.00568244,0.0138583,0.0171269,0.0340098,0.048762,27.5672,0.317896,0.376221,0.249732,0.66114,1,14.1103
0.07092,0.677407,0.247638,0.00019626,0.000242224,0.00046389,0.00156094,0.0033856,0.0046829,0.00769425,0.0124648,3.99757e-05,0.0007919,0.000977181,0.00186975,0.00626383,0.0134872,0.0185593,0.0301342,0.0479223,28.0166,0.477882,0.494743,0.23824,0.676015,1,14.0816
0.0761977,0.59183,0.247753,0.000218602,0.000258748,0.000677782,0.00142546,0.00361404,0.00473346,0.00792096,0.0132822,4.77255e-05,0.000881562,0.00104329,0.00272825,0.00572066,0.0143775,0.0187474,0.0309807,0.0508828,28.4332,0.38056,0.425039,0.263233,0.626472,1,17.3375
0.0644111,0.465792,0.182357,0.000143568,0.000155178,0.000404859,0.00087446,0.00222543,0.00253917,0.00484947,0.00710355,9.2522e-05,0.00078667,0.000850234,0.00221523,0.00477244,0.0120565,0.013733,0.0259044,0.0374936,28.9594,0.562082,0.372303,0.224933,0.63683,1,12.0115
0.074753,0.503571,0.207192,0.000146808,0.000188521,0.000403646,0.00119227,0.00288024,0.00310013,0.00578319,0.00834987,4.42991e-05,0.000708059,0.000909059,0.00194438,0.00572148,0.0137107,0.014742,0.0271543,0.038739,27.9979,0.354323,0.425399,0.252151,0.60317,1,15.0447
0.0796335,0.520127,0.236838,0.000202219,0.000204508,0.000507657,0.00112555,0.00295756,0.003784,0.00702758,0.00958842,4.51651e-05,0.000853101,0.000862749,0.0021389,0.00472991,0.0123337,0.0157259,0.0288174,0.0389099,28.7019,0.562964,0.362089,0.212937,0.666053,1,16.2672
0.0750915,0.537281,0.227525,0.00026904,0.000283153,0.00070194,0.00178503,0.00375879,0.00494239,0.00992899,0.0128886,5.93215e-05,0.00118107,0.00124294,0.00307562,0.00778432,0.0162518,0.0212605,0.0418143,0.0536099,28.4153,0.475948,0.344215,0.203039,0.643845,1,16.1464
0.0699129,0.558754,0.203296,0.000106411,0.000158445,0.000382484,0.000825967,0.00247707,0.00267267,0.00456911,0.00739891,4.21002e-05,0.000523156,0.000778771,0.00187788,0.00404643,0.0120379,0.0129761,0.0219811,0.0351167,27.4237,0.348364,0.543186,0.250317,0.612274,1,14.8319
0.0745197,0.543994,0.215482,0.000251188,0.000287854,0.000591696,0.00168994,0.00382692,0.00452887,0.00751952,0.0116032,4.10327e-05,0.00116434,0.00133408,0.0027384,0.00778155,0.0174499,0.0205847,0.0337195,0.051096,28.4379,0.525303,0.404239,0.244117,0.598076,1,14.6908
0.0628973,0.642399,0.207038,0.000128839,0.000163844,0.000449409,0.00102764,0.00275294,0.0029568,0.00559104,0.00809991,6.68283e-05,0.000621908,0.000790746,0.00216595,0.004939,0.0131223,0.0140803,0.0262948,0.0376498,28.7654,0.662955,0.54475,0.242715,0.619608,1,13.9328
0.0643616,0.577778,0.193648,0.000153413,0.000173397,0.000435919,0.00120281,0.00300164,0.00322656,0.00578202,0.00857697,5.85588e-05,0.000791603,0.000894626,0.00224604,0.00617297,0.0152639,0.0163889,0.0289928,0.0424131,28.7276,0.711167,0.481517,0.243258,0.604233,1,13.5079
0.0886771,0.38677,0.217151,0.000226615,0.000225842,0.000599809,0.00142116,0.00364469,0.00463859,0.00814498,0.0123358,3.40567e-05,0.0010425,0.00103894,0.00275457,0.00650201,0.0165071,0.0209144,0.0361523,0.0537538,26.5581,0.382174,0.285895,0.230468,0.670314,1,16.4473
0.081244,0.428558,0.202933,0.000207465,0.000197185,0.000426359,0.00121295,0.00295894,0.00336222,0.0058954,0.00893907,4.88657e-05,0.00102129,0.000970731,0.00209657,0.00594156,0.0143713,0.0162981,0.0282308,0.0421908,27.1464,0.375613,0.335897,0.199682,0.622551,1,17.9018
0.0630271,0.472897,0.184953,0.000145651,0.000216413,0.000444074,0.00126281,0.00306531,0.00384134,0.00725247,0.0111549,4.59086e-05,0.000786886,0.00116873,0.00239526,0.00678142,0.0163033,0.0203467,0.0377329,0.0568816,28.6381,0.640832,0.413167,0.229982,0.68161,1,12.8546
0.0849103,0.415792,0.237776,0.000205431,0.000213433,0.000543272,0.00133474,0.00351914,0.00441193,0.00828462,0.0121411,6.53988e-05,0.000863222,0.000896816,0.0022796,0.00558211,0.0145844,0.018217,0.033669,0.0485807,28.7916,0.474325,0.259712,0.277301,0.647973,1,19.9029
0.096418,0.740394,0.307452,0.000270021,0.00023006,0.000539279,0.00137167,0.00324525,0.00335184,0.00558989,0.00888084,3.10081e-05,0.000877483,0.000747719,0.00175096,0.00444161,0.010445,0.0107844,0.0178567,0.0280744,27.38,0.275757,0.576611,0.227877,0.547568,1,14.8195
0.126506,0.590447,0.366747,0.000174231,0.00031175,0.000722796,0.00184912,0.0046743,0.00463308,0.00813959,0.0117876,5.37448e-05,0.000474845,0.000849318,0.00196695,0.00501666,0.0125849,0.0124753,0.0217121,0.0311401,28.7755,0.420036,0.287652,0.27201,0.526987,1,16.9316
