"[0,5)","[5,10)","[10,20)","[20,30)","[30,40)","[40,50)","[50,60)","[60,70)","[70,80)","[80,Inf)"
-3.8406855169557,-3.8406855169557,-3.8406855169557,-3.64612798900713,-3.32688505201921,-2.90649426597477,-2.52366698082393,-2.55760176679497,-2.3660500475551,-2.15734521177639
-3.88485231671858,-3.88485231671858,-3.88485231671858,-3.96899167494503,-3.61918478530154,-3.16640352063489,-2.78145399202094,-2.61890117177861,-2.30760875630062,-2.13659980665196
-3.56053151167307,-3.56053151167307,-3.56053151167307,-3.48823692184066,-3.17539065602438,-2.79634985230296,-2.34325898124204,-2.35617833000423,-2.1276659652247,-1.96401823824913
-3.66438566111724,-3.66438566111724,-3.66438566111724,-3.58967162891854,-3.19249812028279,-2.83518335127196,-2.44080941423317,-2.33850629266493,-2.08372349040874,-1.88922516484856
-3.81525180237206,-3.81525180237206,-3.81525180237206,-3.61884699918219,-3.21603499525981,-2.84243142374143,-2.4250825182227,-2.35239211576838,-2.06392932307912,-1.92726129064889
-3.68944687377985,-3.68944687377985,-3.68944687377985,-3.57114953417653,-3.1247737360533,-2.77026185915945,-2.37299894005456,-2.35343552634001,-2.08868042695885,-1.89659656152046
-3.81746837203412,-3.81746837203412,-3.81746837203412,-3.6092361728656,-3.30692674279183,-2.90744777355039,-2.46754756698098,-2.4954000237554,-2.25277935482786,-2.05169170789219
-3.7942166019107,-3.7942166019107,-3.7942166019107,-3.61477457121875,-3.32879937814254,-2.90108297960074,-2.51865628150356,-2.47980084964663,-2.21208138462142,-2.06551871887769
-3.71314175797181,-3.71314175797181,-3.71314175797181,-3.66502179314498,-3.3601500906145,-2.87694257019961,-2.50695064295747,-2.47813260033602,-2.24461991222474,-2.10821452452803
-3.69641519618754,-3.69641519618754,-3.69641519618754,-3.68781841069116,-3.38124087060707,-2.95518595247136,-2.54233908977382,-2.45557102083403,-2.24714904147104,-2.06231614492449
-3.84436947104178,-3.84436947104178,-3.84436947104178,-3.61223299966329,-3.26393910989279,-2.86492462200158,-2.4582011683904,-2.52137435204349,-2.27519183143428,-2.11742935983552
-3.66789092077495,-3.66789092077495,-3.66789092077495,-3.71923502325246,-3.39546400153137,-3.01975794574135,-2.60180470122054,-2.45944154843491,-2.20204173936845,-2.00093212696675
-3.80466502073376,-3.80466502073376,-3.80466502073376,-3.57818720139945,-3.32930987198757,-2.94640301881103,-2.54478348203436,-2.54055775218217,-2.28088591456214,-2.09546513284373
-3.70852902686213,-3.70852902686213,-3.70852902686213,-3.60236584231541,-3.27586345474851,-2.84836358641022,-2.46650375153663,-2.39740398591285,-2.13700863900375,-1.96148315918257
-3.81030479929746,-3.81030479929746,-3.81030479929746,-3.68406742092268,-3.32437103000321,-2.96803841515951,-2.5339394642642,-2.40723162795108,-2.16577645861987,-1.98597115586438
-3.81360878430451,-3.81360878430451,-3.81360878430451,-3.61577207082295,-3.25452078429558,-2.85466682975875,-2.4469183669295,-2.40758228157928,-2.1702120175781,-2.00596586896481
-4.00329880316683,-4.00329880316683,-4.00329880316683,-3.87900185189544,-3.48473035163048,-3.04553895066604,-2.67256341048469,-2.53067291999118,-2.29461530161059,-2.06548740916627
-3.75127656771097,-3.75127656771097,-3.75127656771097,-3.77039238052403,-3.45359430893624,-2.98868335663313,-2.59955526873959,-2.4526216307113,-2.21952930744427,-2.06344554432183
-3.65858724015538,-3.65858724015538,-3.65858724015538,-3.63093450132026,-3.2854213049309,-2.89350652837563,-2.4620688839871,-2.42420848966781,-2.18756864353354,-1.97541582676639
-3.88592303917591,-3.88592303917591,-3.88592303917591,-3.86376154531495,-3.50428641771383,-3.05551387324837,-2.63710303219746,-2.5787317940478,-2.29732050495489,-2.11406631848135
-3.98147841426109,-3.98147841426109,-3.98147841426109,-3.65151016300501,-3.35283423143124,-2.9789885912884,-2.58909460541604,-2.63943119841489,-2.38975303895151,-2.23048974697841
-3.57605162912822,-3.57605162912822,-3.57605162912822,-3.62630292846154,-3.24043488754621,-2.8728109437157,-2.46423891632903,-2.37324606913467,-2.08249238987463,-1.9537936809494
-3.7711763335411,-3.7711763335411,-3.7711763335411,-3.72820716724026,-3.40970332509815,-3.03692698619347,-2.60436961982378,-2.50147579831091,-2.25445445721877,-2.02412034087676
-3.77265585981323,-3.77265585981323,-3.77265585981323,-3.6954383881737,-3.28969558145236,-2.90198654481407,-2.51028895619075,-2.43618560879701,-2.19280740129853,-1.9824658405628
-3.76529800345916,-3.76529800345916,-3.76529800345916,-3.79293950648378,-3.3428848422542,-2.93832515272591,-2.54326815954039,-2.49260294239105,-2.23135967919512,-2.12455961828502
-3.71014136923119,-3.71014136923119,-3.71014136923119,-3.77100199942363,-3.40279751320136,-2.97782741407567,-2.58842911282693,-2.45873161246789,-2.17899180476153,-2.03208059879845
-3.46340242218907,-3.46340242218907,-3.46340242218907,-3.52302063798816,-3.10207230506907,-2.75909647202779,-2.33736680983657,-2.27300317210625,-2.06663117225529,-1.87679211420949
-3.65526985483205,-3.65526985483205,-3.65526985483205,-3.5922794628124,-3.18420383125158,-2.81670167892419,-2.39428240845782,-2.32743206487657,-2.06587287774137,-1.86005168376475
-4.0391569258107,-4.0391569258107,-4.0391569258107,-3.89259328523672,-3.5993359712563,-3.19180929012151,-2.76997280443069,-2.65403062607566,-2.41424946154204,-2.21095684830311
-3.77023883004886,-3.77023883004886,-3.77023883004886,-3.72739962195246,-3.33064127294533,-2.94720605491703,-2.57844378234142,-2.46301756984825,-2.19658795498549,-1.98571053040523
-3.94175623524291,-3.94175623524291,-3.94175623524291,-3.77508382923955,-3.39570157053308,-3.01470019489848,-2.60322023746319,-2.54187000586886,-2.32920698375263,-2.07901051502086
-3.62638927168707,-3.62638927168707,-3.62638927168707,-3.42672680307877,-3.10730726250902,-2.70861782783611,-2.25352849738777,-2.2141898589206,-1.97857500503727,-1.77660011805128
-3.80005020153644,-3.80005020153644,-3.80005020153644,-3.69674776881689,-3.3468926947416,-2.97620038597798,-2.57155903907678,-2.52743368752603,-2.26477967625763,-2.10500864720369
-3.75919125095061,-3.75919125095061,-3.75919125095061,-3.61418645833869,-3.30081897981847,-2.91490930745782,-2.49706786256845,-2.48607425162496,-2.22740841031083,-2.10125617485565
-3.70193766615454,-3.70193766615454,-3.70193766615454,-3.65248459515314,-3.36979594091851,-2.96499475690288,-2.51699786139558,-2.3929966633863,-2.10337734457095,-1.9611256137826
-3.63160339288047,-3.63160339288047,-3.63160339288047,-3.56498904318064,-3.22116527390331,-2.84535695669031,-2.46713483273524,-2.38563754827001,-2.10576149682678,-1.9723039104652
